Designator,Mid X,Mid Y,Rotation,Layer
C1,196.1,-81.3,270.0,top
C10,192.75,-70.2,0.0,top
C11,183.7,-66.2,0.0,top
C12,187.1,-66.2,180.0,top
C13,206.05,-61.85,180.0,top
C14,224.9,-64.75,180.0,top
C15,228.8,-90.8,0.0,top
C16,202.2,-94.25,0.0,top
C17,198.7,-77.1,270.0,top
C18,218.2,-61.3,90.0,top
C19,228.25,-68.6,270.0,top
C2,196.4,-73.0,0.0,top
C20,228.25,-75.0,90.0,top
C21,216.95,-94.9,180.0,top
C22,199.3,-90.35,0.0,top
C23,195.8,-84.05,270.0,top
C24,209.05,-91.95,0.0,top
C25,211.7,-61.4,90.0,top
C26,228.25,-80.0,90.0,top
C27,217.8,-91.694,180.0,top
C28,198.7,-68.0,270.0,top
C29,229.5,-79.9,90.0,top
C3,183.7,-62.0875,0.0,top
C30,219.6,-60.8,180.0,top
C31,219.6,-61.8,180.0,top
C32,219.575,-59.6,180.0,top
C33,219.575,-58.05,180.0,top
C34,202.25,-61.8,0.0,top
C35,208.65,-90.65,0.0,top
C36,228.7,-85.0,0.0,top
C37,229.5,-74.9,90.0,top
C38,216.675,-96.1,180.0,top
C39,217.2,-61.3,270.0,top
C4,183.7,-64.1875,0.0,top
C40,212.7,-61.4,90.0,top
C41,215.05,-65.85,180.0,top
C42,229.2,-83.8,0.0,top
C43,203.6,-95.6,180.0,top
C44,180.99,-94.9,270.0,top
C45,183.3,-97.8,180.0,top
C46,189.7,-98.1,0.0,top
C47,193.48,-94.3,0.0,top
C48,193.48,-92.8,0.0,top
C49,229.23,-92.09,0.0,top
C5,182.0,-70.2,0.0,top
C50,227.9,-87.6,180.0,top
C51,221.6,-90.4,270.0,top
C52,220.65,-90.4,270.0,top
C53,217.4,-85.55,180.0,top
C54,228.7,-86.1,0.0,top
C55,228.5,-97.875,0.0,top
C56,222.55,-98.175,180.0,top
C57,230.68,-86.275,0.0,top
C58,230.68,-90.8,180.0,top
C59,218.7,-95.75,90.0,top
C6,185.4,-70.2,0.0,top
C60,216.5,-97.825,180.0,top
C61,183.5,-87.6,90.0,top
C62,184.57,-89.7,270.0,top
C63,187.16,-86.91,270.0,top
C64,188.16,-86.91,90.0,top
C65,183.5,-89.7,270.0,top
C66,189.4,-91.0,180.0,top
C67,213.275,-97.525,0.0,top
C68,213.475,-98.8,0.0,top
C69,212.78,-66.3,0.0,top
C7,187.15,-62.1,180.0,top
C70,214.2,-78.2,0.0,top
C71,214.1,-82.2,0.0,top
C72,214.1,-87.0,0.0,top
C73,212.5,-65.0,0.0,top
C74,199.0,-85.8,270.0,top
C75,199.0,-81.3,270.0,top
C76,214.1,-88.6,0.0,top
C77,197.7,-81.3,270.0,top
C8,187.15,-64.2,180.0,top
C9,189.3,-70.2,0.0,top
D1,181.1,-67.1875,90.0,top
D2,193.5,-67.2,90.0,top
D3,190.1125,-67.1875,90.0,top
D4,191.6,-56.6,270.0,top
D5,203.66,-56.6,270.0,top
D6,195.62,-56.6,270.0,top
D7,207.68,-56.6,270.0,top
D8,199.64,-56.6,270.0,top
D9,211.7,-56.6,270.0,top
FB1,181.1,-63.2,270.0,top
FB2,189.7,-63.2,270.0,top
FB3,185.5,-68.0,0.0,top
FB4,219.55,-56.45,180.0,top
J1,184.65,-57.725,0.0,top
J3,186.4,-103.6,0.0,top
J4,225.6,-103.6,0.0,top
J5,206.0,-102.6,0.0,top
R1,215.01,-64.85,180.0,top
R10,185.7,-93.3,270.0,top
R11,189.7,-97.0,0.0,top
R12,189.7,-96.0,180.0,top
R13,193.05,-97.525,0.0,top
R14,195.85,-97.55,180.0,top
R15,195.38,-96.1,90.0,top
R16,230.99,-96.8,90.0,top
R17,222.55,-97.175,180.0,top
R18,222.55,-96.2,0.0,top
R19,222.6,-90.41,90.0,top
R2,198.7,-66.1,270.0,top
R20,228.0,-89.4,90.0,top
R21,225.05,-90.35,270.0,top
R22,218.7,-97.6,270.0,top
R23,222.55,-95.2,180.0,top
R24,220.65,-94.65,180.0,top
R25,193.55,-83.25,90.0,top
R26,193.4,-85.85,270.0,top
R27,193.4,-89.95,270.0,top
R28,209.0,-98.2,270.0,top
R29,210.1,-98.2,270.0,top
R3,198.75,-71.35,90.0,top
R4,191.6,-59.3,90.0,top
R5,203.66,-59.3,90.0,top
R6,195.62,-59.3,90.0,top
R7,207.68,-59.3,90.0,top
R8,199.64,-59.3,90.0,top
R9,211.7,-59.5,90.0,top
U1,196.35,-75.7625,90.0,top
U10,225.25,-96.5375,270.0,top
U11,220.35,-96.2,90.0,top
U12,187.65,-86.9,90.0,bottom
U13,206.35,-78.2,180.0,top
U2,183.7,-75.6,90.0,top
U3,191.0,-75.6,90.0,top
U4,212.025,-78.05,180.0,bottom
U5,183.45,-94.81,90.0,top
U6,186.85,-96.4625,270.0,top
U7,193.78,-95.9,0.0,top
U8,228.65,-94.99,90.0,top
U9,221.35,-86.3,270.0,top
Y1,214.95,-60.95,180.0,top
Y2,230.3,-88.55,90.0,top
